word,meaning,image_name,type,category,source,license
Action,Things you do.,flashcard_action,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Admission,Legal entry into the U.S.,flashcard_admission,generated_iconic,immigration,Generated locally from the flashcard word and definition,Project-owned generated image
Advocate,To support or help.,flashcard_advocate,generated_iconic,group,Generated locally from the flashcard word and definition,Project-owned generated image
Airplane,Flying vehicle.,flashcard_airplane,generated_iconic,travel,Generated locally from the flashcard word and definition,Project-owned generated image
Alien,Not a U.S. citizen.,flashcard_alien,generated_iconic,immigration,Generated locally from the flashcard word and definition,Project-owned generated image
Alimony,Money to ex-spouse after divorce.,flashcard_alimony,generated_iconic,money,Generated locally from the flashcard word and definition,Project-owned generated image
Allegiance,Loyalty to a country.,flashcard_allegiance,generated_iconic,immigration,Generated locally from the flashcard word and definition,Project-owned generated image
Alternative Sentencing,Punishment without jail.,flashcard_alternative_sentencing,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Amnesty,Official pardon for a group.,flashcard_amnesty,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Apply,To ask for officially.,flashcard_apply,generated_iconic,paperwork,Generated locally from the flashcard word and definition,Project-owned generated image
Armed Forces,The U.S. military.,flashcard_armed_forces,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Arrested,Taken by police (handcuffed).,flashcard_arrested,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Assassination,Killing a leader or famous person.,flashcard_assassination,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Assaulting,Attacking or hitting someone.,flashcard_assaulting,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Assist,To help.,flashcard_assist,generated_iconic,group,Generated locally from the flashcard word and definition,Project-owned generated image
Associated,Connected to or involved with.,flashcard_associated,generated_iconic,group,Generated locally from the flashcard word and definition,Project-owned generated image
Attempted,Tried to do something.,flashcard_attempted,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Avoid,To keep away from (the draft).,flashcard_avoid,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Bad Conduct,Bad behavior (in the military).,flashcard_bad_conduct,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Bear Arms,To carry a weapon to fight for the U.S.,flashcard_bear_arms,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Become,To start to be.,flashcard_become,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Ceremony,A formal event.,flashcard_ceremony,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Character,Role or quality.,flashcard_character,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Charged,Police formally say you broke the law.,flashcard_charged,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Cited,Got a ticket (traffic ticket).,flashcard_cited,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Citizen,A member of a country.,flashcard_citizen,generated_iconic,immigration,Generated locally from the flashcard word and definition,Project-owned generated image
Civilian,Person not in military.,flashcard_civilian,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Civilian Direction,Orders from non-military leaders.,flashcard_civilian_direction,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Claim,To say something is true.,flashcard_claim,generated_iconic,paperwork,Generated locally from the flashcard word and definition,Project-owned generated image
Cleared,Charges are removed/dropped.,flashcard_cleared,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Clemency,Mercy or leniency.,flashcard_clemency,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Combat,Fighting in a war.,flashcard_combat,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Commit,To do something bad or illegal.,flashcard_commit,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Communist Party,Government owns everything. No freedom.,flashcard_communist_party,generated_iconic,government,Generated locally from the flashcard word and definition,Project-owned generated image
Conduct,Behavior / Actions.,flashcard_conduct,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Confined,Kept in a place (like jail).,flashcard_confined,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Conscript,To force someone to join the army.,flashcard_conscript,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Consent,To agree / Give permission.,flashcard_consent,generated_iconic,paperwork,Generated locally from the flashcard word and definition,Project-owned generated image
Consider,To think of as.,flashcard_consider,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Conspire,To plan with others to do something bad.,flashcard_conspire,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Constitution,The supreme law of the land.,flashcard_constitution,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Controlled Substance,Illegal drugs.,flashcard_controlled_substance,generated_iconic,drug,Generated locally from the flashcard word and definition,Project-owned generated image
Convicted,Found guilty by a judge or court.,flashcard_convicted,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Court-Martialed,Trial by a military court.,flashcard_court_martialed,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Crime / Offense,Breaking the law.,flashcard_crime_offense,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Cultivate,To grow (plants/drugs).,flashcard_cultivate,generated_iconic,drug,Generated locally from the flashcard word and definition,Project-owned generated image
Current,Happening now.,flashcard_current,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Damage,Breaking or destroying things.,flashcard_damage,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Deferred Adjudication,Judge delays the decision.,flashcard_deferred_adjudication,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Deferred Prosecution,Legal delay of charges.,flashcard_deferred_prosecution,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Dependents,People you support financially.,flashcard_dependents,generated_iconic,money,Generated locally from the flashcard word and definition,Project-owned generated image
Deploy,To move soldiers to a place to work/fight.,flashcard_deploy,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Deportation,Sent back to your home country.,flashcard_deportation,generated_iconic,immigration,Generated locally from the flashcard word and definition,Project-owned generated image
Deserted,Ran away from the military.,flashcard_deserted,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Destruction,Damaging something completely.,flashcard_destruction,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Detained,Stopped or held by police.,flashcard_detained,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Detention Facility,A place where people are forced to stay.,flashcard_detention_facility,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Dictatorship,Government with absolute power.,flashcard_dictatorship,generated_iconic,government,Generated locally from the flashcard word and definition,Project-owned generated image
Direct,To lead or give orders.,flashcard_direct,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Disability,A physical or mental problem.,flashcard_disability,generated_iconic,health,Generated locally from the flashcard word and definition,Project-owned generated image
Discharged,Left the military.,flashcard_discharged,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Disclose,To tell the truth / To show.,flashcard_disclose,generated_iconic,paperwork,Generated locally from the flashcard word and definition,Project-owned generated image
Dishonorable,Shameful; not honorable.,flashcard_dishonorable,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Disposition,The final result of a court case.,flashcard_disposition,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Distribute,To give out or sell.,flashcard_distribute,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Diversion,A program to avoid jail/prosecution.,flashcard_diversion,generated_iconic,court,Generated locally from the flashcard word and definition,Project-owned generated image
Documentation,Official papers.,flashcard_documentation,generated_iconic,paperwork,Generated locally from the flashcard word and definition,Project-owned generated image
Domestic Violence,Harming a family member.,flashcard_domestic_violence,generated_iconic,police,Generated locally from the flashcard word and definition,Project-owned generated image
Drafted,Forced to join the army (by government).,flashcard_drafted,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Duty,A job or responsibility.,flashcard_duty,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Election,Choosing a leader by voting.,flashcard_election,generated_iconic,government,Generated locally from the flashcard word and definition,Project-owned generated image
Eligible,Qualified to do something.,flashcard_eligible,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Encourage,To give hope or support.,flashcard_encourage,generated_iconic,money,Generated locally from the flashcard word and definition,Project-owned generated image
Engage,To take part in.,flashcard_engage,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Enlist,To sign up for the army (voluntarily).,flashcard_enlist,generated_iconic,military,Generated locally from the flashcard word and definition,Project-owned generated image
Entry,Going in.,flashcard_entry,generated_iconic,immigration,Generated locally from the flashcard word and definition,Project-owned generated image
Establishment,Creating or setting up.,flashcard_establishment,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
Exemption,You do not have to do something.,flashcard_exemption,generated_iconic,paperwork,Generated locally from the flashcard word and definition,Project-owned generated image
Explanation,Reason or detail.,flashcard_explanation,generated_iconic,paperwork,Generated locally from the flashcard word and definition,Project-owned generated image
Explosive,A bomb or material that blows up.,flashcard_explosive,generated_iconic,work,Generated locally from the flashcard word and definition,Project-owned generated image
